height,weight,wingspan,points_scored,rebounds,assists,plusminus,fgpct,pheight,pweight,pwingspan,pos
195.15666666666667,93.75333333333333,203.83666666666667,0.35069075447920395,0.0956429330397829,0.15940488839963815,-6,0.235,197.48,86.64,208.28,SG
199.39,96.43,212.72,0.0,0.20253164556962025,0.0,-9,0.0,200.02,104.69,208.28,PF
189.6533333333333,89.86666666666667,204.04666666666665,0.45918367352795714,0.19132653063664878,0.11479591838198928,-1,0.5,200.66,93.08,208.28,SG
189.6533333333333,89.86666666666667,204.04666666666665,0.20876826722338204,0.04175365344467641,0.12526096033402923,-10,0.333,194.31,92.94,203.84,PG
189.6533333333333,89.86666666666667,204.04666666666665,1.4323607428955385,0.11936339524129488,0.07957559682752992,5,0.619,190.5,95.24,199.39,SG
198.11999999999998,93.34666666666668,213.36,0.35949670457046173,0.17974835228523087,0.07189934091409235,7,0.5,199.39,96.43,212.72,SF
199.17666666666665,94.19000000000001,204.89333333333335,0.5357142857826166,0.15306122450931903,0.07653061225465951,-15,0.714,195.58,99.88,198.12,SG
199.17666666666665,94.19000000000001,204.89333333333335,0.335382895434837,0.0335382895434837,0.0,-12,0.2,193.04,80.73,201.93,SG
199.17666666666665,94.19000000000001,204.89333333333335,0.3750000000585938,0.23437500003662112,0.09375000001464845,-34,0.3,197.48,97.16,213.36,SG
203.83499999999998,105.1625,210.3425,0.28846153839219674,0.21634615379414754,0.07211538459804918,-11,0.5,200.66,103.42,216.54,SF
200.66,103.42,216.54,0.43010752688172044,0.17921146953405018,0.17921146953405018,13,0.5,208.28,113.38,214.63,PF
195.36666666666667,92.58999999999999,204.47000000000003,0.4078857919227892,0.16315431676911565,0.08157715838455783,12,0.556,205.74,94.78,205.74,PG
200.66,103.42,216.54,0.13029315960912052,0.26058631921824105,0.0,13,0.0,208.28,104.87,213.36,PF
195.36666666666667,92.58999999999999,204.47000000000003,0.6489675516224189,0.2949852507374631,0.0,8,0.625,189.23,92.9,200.02,SG
