player_name,position,height,height_with_shoes,weight,wingspan,draft_year
Rawle Marshall,SG/SF,194.31,197.48,84.64,215.9,2005
Tu Holloway,PG,179.07,182.24,84.73,196.85,2012
Bracey Wright,SG/PG,186.06,189.23,84.73,208.28,2005
Kobe Bufkin,SG,193.68,196.22,84.73,202.56,2023
Tyler Honeycutt,SF,200.02,203.84,84.73,205.74,2011
Aaron Holiday,PG,182.24,184.78,84.82,201.93,2018
Trey Burke,PG,182.24,186.06,84.82,196.85,2013
Jermaine Boyette,PG/SG,185.42,187.96,84.82,193.04,2003
Xavier Thames,PG,188.6,191.77,84.82,193.04,2014
Chris McCray,SG,190.5,193.04,84.82,197.48,2006
Tory Walker,SF,200.02,202.56,84.82,211.46,2001
Wayne Wallace,PF,201.3,203.84,84.82,218.44,2003
Blake Wesley,SG,190.5,193.68,84.91,206.38,2022
Theo Maledon,PG,193.04,195.58,85,205.1,2020
Nolan Smith,PG,186.69,191.77,85.09,196.85,2011
Jared Cunningham,SG/PG,191.77,195.58,85.09,199.39,2012
Scottie Lewis,SF,193.04,196.22,85.09,213.36,2021
TJ McConnell,PG,184.15,187.96,85.18,187.96,2015
LaceDarius Dunn,SG,190.5,193.04,85.18,198.76,2011
Jason Gardner,PG,177.16,179.7,85.28,186.06,2001
J.R. Bremer,SG/PG,186.06,188.6,85.28,188.6,2002
JR Reynolds,PG,182.88,189.86,85.28,191.14,2007
Brandon Armstrong,SG,191.77,194.31,85.28,207.01,2001
Brandon Boston Jr.,SF,197.48,200.66,85.28,210.18,2021
Marcus Denmon,SG,188.6,191.14,85.37,195.58,2012
Isaiah Canaan,PG,180.34,182.88,85.46,194.31,2013
Jerome Robinson,SG,193.04,195.58,85.46,201.3,2018
Ziaire Williams,SF,203.84,207.64,85.46,208.92,2021
Derrick Walton Jr.,PG,180.34,184.78,85.55,189.23,2017
Will Conroy,PG,185.42,187.96,85.55,190.5,2005
Landry Shamet,PG,193.04,196.22,85.55,200.02,2018
Cody Martin,SG/SF,194.94,198.12,85.55,208.92,2018
Omari Moore,SG,196.22,198.76,85.55,207.64,2023
Will Bynum,PG/SG,179.07,181.61,85.64,191.77,2005
Frank Mason III,PG,180.34,182.88,85.64,191.14,2017
Damian Lillard,PG,187.32,189.86,85.64,202.56,2012
Aubrey Reese,PG,179.7,182.24,85.73,196.85,2000
Omar Cook,PG,181.61,184.15,85.73,196.85,2001
Ed Cota,PG,183.52,186.06,85.73,193.04,2000
Mo Williams,PG/SG,184.78,187.32,85.73,196.85,2003
Joshua Primo,SG,193.04,195.58,85.73,206.38,2021
Archie Goodwin,SG,192.4,196.22,85.73,207.01,2013
Malik Newman,SG,189.23,191.14,85.82,196.85,2018
Ben McLemore,SG,191.77,194.94,85.82,202.56,2013
Lorenzo Brown,PG,193.04,196.22,85.82,200.66,2013
Max Christie,SG,193.68,197.48,85.82,205.1,2022
Francisco Garcia,SF/SG,197.48,200.66,86,210.18,2005
Devin Robinson,SF,200.66,203.84,86,215.26,2017
Derrick White,PG,191.14,194.31,86.09,201.93,2017
Malik Beasley,SG,191.77,194.31,86.09,200.66,2016
