500,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
15,22300063,1610612766,CHA,Charlotte,202330,Gordon Hayward,Gordon,33.33333333,4,8,0.5,0,1,0,2,3,0.667,3,5,8,7,1,1,6,1,10,15
16,22300063,1610612766,CHA,Charlotte,1629023,P.J. Washington,P.J.,31.8,12,18,0.667,1,6,0.167,0,0,0,1,4,5,2,0,0,1,4,25,5
17,22300063,1610612766,CHA,Charlotte,1631109,Mark Williams,Mark,29.91666667,5,6,0.833,0,0,0,3,3,1,4,11,15,1,3,1,2,2,13,19
18,22300063,1610612766,CHA,Charlotte,1626179,Terry Rozier,Terry,34.35,7,16,0.438,2,7,0.286,8,12,0.667,1,4,5,6,0,0,3,2,24,14
19,22300063,1610612766,CHA,Charlotte,1630163,LaMelo Ball,LaMelo,30.78333333,4,15,0.267,4,11,0.364,3,4,0.75,1,5,6,10,1,0,3,3,15,7
20,22300063,1610612766,CHA,Charlotte,1641706,Brandon Miller,Brandon,24.61666667,5,9,0.556,3,7,0.429,0,0,0,0,3,3,2,0,0,1,3,13,-13
21,22300063,1610612766,CHA,Charlotte,1630550,JT Thor,JT,20.11666667,2,7,0.286,1,3,0.333,0,0,0,1,1,2,1,0,0,0,0,5,2
22,22300063,1610612766,CHA,Charlotte,1630208,Nick Richards,Nick,18.05,2,2,1,0,0,0,3,4,0.75,1,3,4,1,0,1,2,3,7,-14
23,22300063,1610612766,CHA,Charlotte,1630177,Theo Maledon,Theo,16.31666667,2,5,0.4,0,2,0,0,0,0,0,3,3,4,0,0,1,3,4,-5
24,22300063,1610612766,CHA,Charlotte,1641733,Nick Smith Jr.,Nick,0.716666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,22300069,1610612750,MIN,Minnesota,1629638,Nickeil Alexander-Walker,Nickeil,22.63333333,1,5,0.2,0,3,0,0,0,0,0,4,4,2,1,0,1,3,2,-17
1,22300069,1610612750,MIN,Minnesota,1626157,Karl-Anthony Towns,Karl-Anthony,35.96666667,8,25,0.32,2,10,0.2,1,1,1,2,8,10,3,0,4,4,2,19,-1
2,22300069,1610612750,MIN,Minnesota,203497,Rudy Gobert,Rudy,32,6,12,0.5,0,0,0,3,5,0.6,5,8,13,1,2,4,2,3,15,-11
3,22300069,1610612750,MIN,Minnesota,1630162,Anthony Edwards,Anthony,38.3,8,27,0.296,4,7,0.571,6,6,1,5,9,14,1,0,0,2,1,26,0
4,22300069,1610612750,MIN,Minnesota,201144,Mike Conley,Mike,30.51666667,4,9,0.444,1,4,0.25,2,2,1,1,3,4,3,1,1,1,1,11,-6
5,22300069,1610612750,MIN,Minnesota,203937,Kyle Anderson,Kyle,30.31666667,3,9,0.333,0,1,0,1,2,0.5,2,7,9,5,2,0,1,0,7,15
6,22300069,1610612750,MIN,Minnesota,1629003,Shake Milton,Shake,21.26666667,1,5,0.2,1,4,0.25,1,2,0.5,0,3,3,4,2,0,2,4,4,3
7,22300069,1610612750,MIN,Minnesota,1629675,Naz Reid,Naz,23.76666667,3,8,0.375,0,2,0,4,4,1,1,3,4,1,0,0,1,0,10,1
8,22300069,1610612750,MIN,Minnesota,1628972,Troy Brown Jr.,Troy,5.25,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
15,22300069,1610612761,TOR,Toronto,1628384,OG Anunoby,OG,33.8,7,13,0.538,4,9,0.444,2,2,1,0,6,6,1,2,3,2,2,20,6
16,22300069,1610612761,TOR,Toronto,1627783,Pascal Siakam,Pascal,34.08333333,5,17,0.294,3,5,0.6,2,2,1,0,7,7,6,1,0,2,2,15,7
17,22300069,1610612761,TOR,Toronto,1627751,Jakob Poeltl,Jakob,23.71666667,3,3,1,0,0,0,1,4,0.25,3,8,11,1,1,1,0,1,7,8
18,22300069,1610612761,TOR,Toronto,1630567,Scottie Barnes,Scottie,37.05,6,16,0.375,1,4,0.25,4,6,0.667,1,7,8,5,2,5,4,1,17,2
19,22300069,1610612761,TOR,Toronto,203471,Dennis Schroder,Dennis,32.55,8,17,0.471,4,8,0.5,2,2,1,1,2,3,7,0,0,2,1,22,10
20,22300069,1610612761,TOR,Toronto,1629018,Gary Trent Jr.,Gary,26.7,2,8,0.25,1,4,0.25,0,0,0,0,2,2,2,1,1,0,3,5,3
21,22300069,1610612761,TOR,Toronto,1630173,Precious Achiuwa,Precious,24.28333333,4,9,0.444,0,1,0,0,0,0,3,5,8,0,0,0,2,1,8,-5
22,22300069,1610612761,TOR,Toronto,1629667,Jalen McDaniels,Jalen,16.15,0,3,0,0,3,0,0,0,0,0,2,2,2,1,1,0,2,0,-3
23,22300069,1610612761,TOR,Toronto,1630201,Malachi Flynn,Malachi,9.55,1,3,0.333,1,1,1,0,0,0,0,0,0,2,1,0,2,4,3,-14
24,22300069,1610612761,TOR,Toronto,1641711,Gradey Dick,Gradey,2.116666667,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
0,22300075,1610612755,PHI,Philadelphia,202699,Tobias Harris,Tobias,37.05,8,9,0.889,3,3,1,1,2,0.5,0,7,7,2,0,0,2,2,20,-14
1,22300075,1610612755,PHI,Philadelphia,200782,P.J. Tucker,P.J.,25.58333333,0,2,0,0,2,0,0,0,0,1,6,7,0,2,0,0,5,0,2
2,22300075,1610612755,PHI,Philadelphia,203954,Joel Embiid,Joel,36.43333333,9,21,0.429,3,7,0.429,3,8,0.375,0,7,7,6,0,1,7,5,24,-1
3,22300075,1610612755,PHI,Philadelphia,1629001,De'Anthony Melton,De'Anthony,24.9,3,10,0.3,2,6,0.333,2,2,1,1,1,2,4,2,0,1,2,10,-4
4,22300075,1610612755,PHI,Philadelphia,1630178,Tyrese Maxey,Tyrese,40.2,10,22,0.455,3,8,0.375,8,10,0.8,0,4,4,8,2,0,0,3,31,0
5,22300075,1610612755,PHI,Philadelphia,1626162,Kelly Oubre Jr.,Kelly,32.46666667,9,11,0.818,5,6,0.833,4,4,1,1,3,4,0,1,0,3,4,27,14
6,22300075,1610612755,PHI,Philadelphia,201980,Danny Green,Danny,13.68333333,0,1,0,0,1,0,0,0,0,0,2,2,1,1,0,0,0,0,2
7,22300075,1610612755,PHI,Philadelphia,201976,Patrick Beverley,Patrick,13.56666667,1,1,1,0,0,0,0,0,0,0,2,2,2,0,0,0,2,2,6
8,22300075,1610612755,PHI,Philadelphia,1630194,Paul Reed,Paul,11.56666667,1,2,0.5,0,1,0,1,2,0.5,1,3,4,2,0,1,2,4,3,0
9,22300075,1610612755,PHI,Philadelphia,1630531,Jaden Springer,Jaden,4.566666667,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,-10
14,22300075,1610612749,MIL,Milwaukee,203114,Khris Middleton,Khris,16.2,2,5,0.4,1,3,0.333,1,2,0.5,0,3,3,4,2,0,2,0,6,14
15,22300075,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,Giannis,35.11666667,10,21,0.476,0,3,0,3,9,0.333,4,8,12,3,2,2,7,4,23,-13
16,22300075,1610612749,MIL,Milwaukee,201572,Brook Lopez,Brook,28.93333333,5,7,0.714,3,4,0.75,0,0,0,1,1,2,0,0,0,2,4,13,11
17,22300075,1610612749,MIL,Milwaukee,1627736,Malik Beasley,Malik,31.05,2,4,0.5,1,1,1,0,0,0,0,4,4,3,2,0,2,1,5,-5
18,22300075,1610612749,MIL,Milwaukee,203081,Damian Lillard,Damian,37.21666667,9,20,0.45,4,12,0.333,17,17,1,0,8,8,4,0,0,0,2,39,12
19,22300075,1610612749,MIL,Milwaukee,203109,Jae Crowder,Jae,26.76666667,3,4,0.75,1,1,1,2,2,1,0,4,4,2,2,0,1,3,9,11
20,22300075,1610612749,MIL,Milwaukee,1626192,Pat Connaughton,Pat,20.35,2,6,0.333,1,4,0.25,2,2,1,0,2,2,2,0,1,0,0,7,-5
21,22300075,1610612749,MIL,Milwaukee,1626171,Bobby Portis,Bobby,19.06666667,5,8,0.625,0,0,0,0,4,0,2,4,6,2,0,1,0,3,10,-10
22,22300075,1610612749,MIL,Milwaukee,1626166,Cameron Payne,Cameron,8.933333333,1,3,0.333,0,1,0,0,0,0,0,0,0,0,1,0,0,3,2,-7
23,22300075,1610612749,MIL,Milwaukee,1630699,MarJon Beauchamp,MarJon,16.36666667,2,3,0.667,0,1,0,0,0,0,1,1,2,0,0,0,0,3,4,-3
0,22300076,1610612756,PHX,Phoenix,1629006,Josh Okogie,Josh,32.5,3,5,0.6,2,4,0.5,2,2,1,4,4,8,3,0,1,1,2,10,3
1,22300076,1610612756,PHX,Phoenix,201142,Kevin Durant,Kevin,39.38333333,14,28,0.5,1,5,0.2,10,13,0.769,0,11,11,2,1,1,8,2,39,18
2,22300076,1610612756,PHX,Phoenix,203994,Jusuf Nurkic,Jusuf,28.03333333,1,5,0.2,0,2,0,2,2,1,3,6,9,3,3,0,4,5,4,-5
3,22300076,1610612756,PHX,Phoenix,1628960,Grayson Allen,Grayson,34.7,2,6,0.333,2,4,0.5,0,0,0,1,5,6,4,0,0,0,3,6,-2
4,22300076,1610612756,PHX,Phoenix,201569,Eric Gordon,Eric,30.28333333,6,16,0.375,2,8,0.25,1,1,1,1,1,2,0,0,0,2,2,15,-27
5,22300076,1610612756,PHX,Phoenix,1630692,Jordan Goodwin,Jordan,29.96666667,6,15,0.4,1,5,0.2,1,3,0.333,0,6,6,2,2,0,1,2,14,8
6,22300076,1610612756,PHX,Phoenix,1629139,Yuta Watanabe,Yuta,14.83333333,1,2,0.5,1,1,1,0,0,0,0,1,1,0,0,0,1,2,3,-14
7,22300076,1610612756,PHX,Phoenix,1629642,Nassir Little,Nassir,13.18333333,0,2,0,0,2,0,2,2,1,0,2,2,0,1,1,1,0,2,-7
8,22300076,1610612756,PHX,Phoenix,1629234,Drew Eubanks,Drew,17.11666667,1,2,0.5,0,0,0,0,0,0,1,3,4,2,0,0,2,3,2,1
14,22300076,1610612747,LAL,Los Angeles,1627752,Taurean Prince,Taurean,18.16666667,0,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,-15
15,22300076,1610612747,LAL,Los Angeles,2544,LeBron James,LeBron,35,7,14,0.5,1,5,0.2,6,8,0.75,1,7,8,9,2,2,5,1,21,22
16,22300076,1610612747,LAL,Los Angeles,203076,Anthony Davis,Anthony,39.25,10,17,0.588,1,2,0.5,9,10,0.9,3,9,12,2,3,3,2,2,30,7
17,22300076,1610612747,LAL,Los Angeles,1630559,Austin Reaves,Austin,27.9,4,7,0.571,1,2,0.5,1,2,0.5,1,1,2,1,1,0,1,5,10,-11
18,22300076,1610612747,LAL,Los Angeles,1626156,D'Angelo Russell,D'Angelo,33.08333333,6,16,0.375,1,7,0.143,1,1,1,0,4,4,5,2,1,3,2,14,8
19,22300076,1610612747,LAL,Los Angeles,1629216,Gabe Vincent,Gabe,35.01666667,3,10,0.3,0,5,0,1,2,0.5,1,2,3,6,3,0,0,1,7,13
20,22300076,1610612747,LAL,Los Angeles,1629060,Rui Hachimura,Rui,12.48333333,2,3,0.667,1,2,0.5,2,2,1,0,0,0,0,1,1,1,2,7,-13
21,22300076,1610612747,LAL,Los Angeles,1629637,Jaxson Hayes,Jaxson,5.95,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,2,3,0,3
